S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,840000,-,904,Strata,01 to 05,929,Dec-21
2,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1230000,-,1399,Strata,01 to 05,879,Dec-21
3,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,850500,-,904,Strata,01 to 05,941,Dec-21
4,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1180000,-,1023,Strata,01 to 05,1154,Nov-21
5,ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 yrs lease commencing from 1991,Resale,1,1030000,-,1249,Strata,06 to 10,825,Nov-21
6,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1020000,-,926,Strata,11 to 15,1102,Nov-21
7,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1195000,-,947,Strata,11 to 15,1262,Nov-21
8,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1190000,-,1012,Strata,06 to 10,1176,Nov-21
9,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,920000,-,829,Strata,01 to 05,1110,Nov-21
10,D'BANYAN,JALAN SENDUDOK,Apartment,27,OCR,999 yrs lease commencing from 1885,Resale,1,640000,-,570,Strata,01 to 05,1122,Nov-21
11,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,910000,-,743,Strata,01 to 05,1225,Nov-21
12,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,1400000,-,1313,Strata,06 to 10,1066,Nov-21
13,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,645000,-,506,Strata,01 to 05,1275,Nov-21
14,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,700000,-,581,Strata,01 to 05,1204,Nov-21
15,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,650000,-,689,Strata,01 to 05,944,Nov-21
16,SUN PLAZA,SEMBAWANG DRIVE,Apartment,27,OCR,99 yrs lease commencing from 1996,Resale,1,976000,-,1313,Strata,06 to 10,743,Nov-21
17,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,845000,-,570,Strata,01 to 05,1481,Nov-21
18,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,795000,-,764,Strata,01 to 05,1040,Nov-21
19,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1200000,-,1378,Strata,06 to 10,871,Nov-21
20,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,865000,-,689,Strata,16 to 20,1256,Nov-21
21,NORTHWOOD,JALAN MATA AYER,Condominium,27,OCR,Freehold,Resale,1,1496888,-,1335,Strata,01 to 05,1121,Nov-21
22,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1350000,-,1507,Strata,01 to 05,896,Nov-21
23,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1280000,-,1582,Strata,01 to 05,809,Nov-21
24,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1085000,-,1335,Strata,01 to 05,813,Nov-21
25,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,635000,-,441,Strata,11 to 15,1439,Nov-21
26,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,990000,-,1206,Strata,06 to 10,821,Nov-21
27,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1128000,-,1335,Strata,11 to 15,845,Nov-21
28,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1250000,-,1044,Strata,01 to 05,1197,Nov-21
29,ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 yrs lease commencing from 1991,Resale,1,1375088,-,1668,Strata,11 to 15,824,Nov-21
30,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1068000,-,872,Strata,06 to 10,1225,Nov-21
31,SUNRISE GARDENS,SUNRISE AVENUE,Condominium,28,OCR,99 yrs lease commencing from 1995,Resale,1,1120000,-,1442,Strata,01 to 05,776,Nov-21
32,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1650000,-,1572,Strata,01 to 05,1050,Nov-21
33,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,950000,-,883,Strata,01 to 05,1076,Nov-21
34,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,585000,-,452,Strata,06 to 10,1294,Nov-21
35,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,640000,-,495,Strata,11 to 15,1293,Nov-21
36,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,860000,-,904,Strata,01 to 05,951,Nov-21
37,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,910888,-,915,Strata,11 to 15,996,Nov-21
38,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1380000,-,1313,Strata,11 to 15,1051,Nov-21
39,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,850000,-,883,Strata,01 to 05,963,Nov-21
40,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1080000,-,893,Strata,11 to 15,1209,Nov-21
41,YISHUN EMERALD,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1200000,-,1399,Strata,06 to 10,858,Nov-21
42,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,758000,-,581,Strata,11 to 15,1304,Nov-21
43,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,900000,-,786,Strata,11 to 15,1145,Nov-21
44,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1070000,-,1173,Strata,01 to 05,912,Nov-21
45,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1230000,-,1216,Strata,01 to 05,1011,Nov-21
46,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,1230000,-,1270,Strata,01 to 05,968,Nov-21
47,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,800000,-,689,Strata,11 to 15,1161,Nov-21
48,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,568888,-,441,Strata,01 to 05,1289,Nov-21
49,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,795000,-,689,Strata,11 to 15,1154,Nov-21
50,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,1900000,-,1593,Strata,01 to 05,1193,Nov-21
51,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,916000,-,732,Strata,06 to 10,1251,Nov-21
52,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,570000,-,388,Strata,21 to 25,1471,Nov-21
53,SELETARIS,SEMBAWANG ROAD,Condominium,27,OCR,Freehold,Resale,1,1550000,-,1615,Strata,01 to 05,960,Nov-21
54,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,945000,-,721,Strata,16 to 20,1310,Nov-21
55,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1170000,-,1023,Strata,01 to 05,1144,Nov-21
56,ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 yrs lease commencing from 1991,Resale,1,970000,-,1206,Strata,06 to 10,805,Nov-21
57,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,1365000,-,1130,Strata,21 to 25,1208,Nov-21
58,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,878000,-,743,Strata,16 to 20,1182,Nov-21
59,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1080000,-,1302,Strata,01 to 05,829,Nov-21
60,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1051000,-,915,Strata,06 to 10,1149,Nov-21
61,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1570000,-,1572,Strata,11 to 15,999,Nov-21
62,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,950000,-,958,Strata,01 to 05,992,Nov-21
63,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,1370000,-,1442,Strata,01 to 05,950,Oct-21
64,SUNRISE GARDENS,SUNRISE AVENUE,Condominium,28,OCR,99 yrs lease commencing from 1995,Resale,1,950000,-,1216,Strata,01 to 05,781,Oct-21
65,THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 yrs lease commencing from 2011,Resale,1,780000,-,764,Strata,01 to 05,1021,Oct-21
66,NINE RESIDENCES,YISHUN AVENUE 9,Apartment,27,OCR,99 yrs lease commencing from 2013,Resale,1,810000,-,710,Strata,06 to 10,1140,Oct-21
67,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,777000,-,592,Strata,11 to 15,1312,Oct-21
68,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,1440000,-,1195,Strata,16 to 20,1205,Oct-21
69,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1108000,-,990,Strata,01 to 05,1119,Oct-21
70,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,892000,-,797,Strata,11 to 15,1120,Oct-21
71,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,908000,-,786,Strata,11 to 15,1156,Oct-21
72,YISHUN EMERALD,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,838000,-,1033,Strata,01 to 05,811,Oct-21
73,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,816888,-,840,Strata,01 to 05,973,Oct-21
74,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,1450000,-,1991,Strata,01 to 05,728,Oct-21
75,SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 yrs lease commencing from 1997,Resale,1,1005000,-,1302,Strata,01 to 05,772,Oct-21
76,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1200000,-,1044,Strata,11 to 15,1149,Oct-21
77,SUNRISE GARDENS,SUNRISE AVENUE,Condominium,28,OCR,99 yrs lease commencing from 1995,Resale,1,1510000,-,2024,Strata,01 to 05,746,Oct-21
78,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1380000,-,1528,Strata,01 to 05,903,Oct-21
79,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,650000,-,592,Strata,01 to 05,1098,Oct-21
80,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,780000,-,721,Strata,01 to 05,1082,Oct-21
81,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,1520000,-,1206,Strata,01 to 05,1261,Oct-21
82,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,2200000,-,2842,Strata,11 to 15,774,Oct-21
83,THE SENSORIA,JALAN ULU SEMBAWANG,Condominium,27,OCR,Freehold,Resale,1,1085000,-,1076,Strata,01 to 05,1008,Oct-21
84,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,2040000,-,2239,Strata,01 to 05,911,Oct-21
85,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1208000,-,1324,Strata,01 to 05,912,Oct-21
86,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1015000,-,893,Strata,06 to 10,1136,Oct-21
87,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,919000,-,883,Strata,06 to 10,1041,Oct-21
88,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,770000,-,689,Strata,11 to 15,1118,Oct-21
89,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,1250000,-,1130,Strata,06 to 10,1106,Oct-21
90,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,1280000,-,1195,Strata,01 to 05,1071,Oct-21
91,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,965000,-,1216,Strata,01 to 05,793,Oct-21
92,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,2363800,-,2863,Strata,11 to 15,826,Oct-21
93,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1000000,-,947,Strata,06 to 10,1056,Oct-21
94,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,1148000,-,1023,Strata,01 to 05,1123,Oct-21
95,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,530000,-,388,Strata,11 to 15,1368,Oct-21
96,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1510000,-,1238,Strata,11 to 15,1220,Oct-21
97,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,775000,-,635,Strata,06 to 10,1220,Oct-21
98,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2014,Resale,1,790000,-,689,Strata,11 to 15,1147,Oct-21
99,GRANDE VISTA,CACTUS DRIVE,Condominium,28,OCR,999 yrs lease commencing from 1886,Resale,1,1550000,-,1238,Strata,06 to 10,1252,Oct-21
100,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,650000,-,603,Strata,01 to 05,1078,Oct-21
101,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,870000,-,710,Strata,06 to 10,1225,Oct-21
102,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1220000,-,1055,Strata,11 to 15,1157,Oct-21
103,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,1100000,-,969,Strata,06 to 10,1135,Oct-21
104,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,845000,-,743,Strata,06 to 10,1138,Oct-21
105,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,2080000,-,2314,Strata,01 to 05,899,Oct-21
106,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,1150000,-,872,Strata,01 to 05,1319,Oct-21
107,YISHUN EMERALD,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,1050000,-,1432,Strata,16 to 20,733,Oct-21
108,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,785000,-,721,Strata,06 to 10,1088,Oct-21
109,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,878000,-,667,Strata,16 to 20,1316,Oct-21
110,EUPHONY GARDENS,JALAN MATA AYER,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,830000,-,1109,Strata,01 to 05,749,Oct-21
111,THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2009,Resale,1,1590000,-,1227,Strata,01 to 05,1296,Oct-21
112,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1700000,-,1389,Strata,06 to 10,1224,Oct-21
113,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,993888,-,872,Strata,01 to 05,1140,Oct-21
114,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1190000,-,980,Strata,01 to 05,1215,Oct-21
115,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,975000,-,990,Strata,01 to 05,985,Oct-21
116,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1008888,-,1119,Strata,06 to 10,901,Oct-21
117,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1268000,-,915,Strata,06 to 10,1386,Oct-21
118,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 yrs lease commencing from 2013,Resale,1,1200000,-,1044,Strata,06 to 10,1149,Oct-21
119,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,905000,-,883,Strata,11 to 15,1025,Oct-21
120,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,785000,-,710,Strata,06 to 10,1105,Oct-21
121,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1580000,-,1905,Strata,01 to 05,829,Oct-21
122,SERENITY PARK,TAMARIND ROAD,Condominium,28,OCR,Freehold,Resale,1,1500000,-,1313,Strata,01 to 05,1142,Oct-21
123,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,1318000,-,1119,Strata,01 to 05,1177,Oct-21
124,NORTHWOOD,JALAN MATA AYER,Condominium,27,OCR,Freehold,Resale,1,1390000,-,1313,Strata,01 to 05,1058,Oct-21
125,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,890000,-,861,Strata,01 to 05,1034,Oct-21
126,SERENITY PARK,TAMARIND ROAD,Condominium,28,OCR,Freehold,Resale,1,1717000,-,1593,Strata,01 to 05,1078,Oct-21
127,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 yrs lease commencing from 2013,Resale,1,845000,-,700,Strata,11 to 15,1208,Oct-21
128,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,1080000,-,840,Strata,01 to 05,1286,Sep-21
129,THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 yrs lease commencing from 2008,Resale,1,1000000,-,1119,Strata,01 to 05,893,Sep-21
130,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,840000,-,861,Strata,01 to 05,975,Sep-21
131,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,883028,-,883,Strata,11 to 15,1000,Sep-21
132,NINE RESIDENCES,YISHUN AVENUE 9,Apartment,27,OCR,99 yrs lease commencing from 2013,Resale,1,860000,-,710,Strata,11 to 15,1211,Sep-21
133,THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,870000,-,1001,Strata,01 to 05,869,Sep-21
134,THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 yrs lease commencing from 2015,Resale,1,1025000,-,893,Strata,06 to 10,1147,Sep-21
135,GRANDE VISTA,CACTUS DRIVE,Condominium,28,OCR,999 yrs lease commencing from 1886,Resale,1,1964000,-,1647,Strata,06 to 10,1193,Sep-21
136,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,1058000,-,872,Strata,01 to 05,1213,Sep-21
137,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1330000,-,1528,Strata,01 to 05,870,Sep-21
138,SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 yrs lease commencing from 2012,Resale,1,1070000,-,1076,Strata,01 to 05,994,Sep-21
139,EUPHONY GARDENS,JALAN MATA AYER,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,745000,-,947,Strata,01 to 05,787,Sep-21
140,SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2011,Resale,1,1163000,-,872,Strata,01 to 05,1334,Sep-21
